cap_year,age,n
1997,adult,3
1997,nestling,30
1998,adult,2
1998,nestling,18
1999,adult,5
1999,unknown,1
1999,nestling,21
2000,adult,2
2000,nestling,31
2001,adult,4
2001,nestling,22
2002,adult,5
2002,nestling,38
2003,adult,4
2003,nestling,32
2004,adult,6
2004,nestling,24
2005,adult,4
2005,nestling,47
2006,nestling,48
2007,adult,5
2007,nestling,30
2008,adult,3
2008,nestling,32
2009,nestling,40
2010,adult,1
2010,nestling,49
2011,nestling,52
2012,nestling,41
2013,nestling,40
2014,adult,1
2014,nestling,40
2015,nestling,39
2016,nestling,46
2017,nestling,22
2018,nestling,48
2019,nestling,19
