ring,n_seasons_seen
784957,1
784958,1
784961,1
784968,1
784969,1
784974,3
784985,5
784986,3
784996,3
784997,5
789883,5
789887,11
789894,2
789896,5
790952,3
790966,2
790974,3
790975,1
790976,1
790977,5
790981,5
790999,11
791000,6
791903,1
791905,3
791912,11
791914,12
791916,2
791922,9
791924,9
791933,1
791934,1
791938,11
791940,1
791941,7
791942,1
791945,2
791946,6
793672,7
793676,10
793679,11
793680,12
793681,6
793683,1
793685,3
793693,7
793695,7
794658,1
794659,8
794660,1
794672,6
794679,2
794680,2
794681,7
794685,7
794687,5
794695,11
794699,7
795354,2
795355,7
795360,7
795365,2
795369,10
795374,5
795376,7
795387,9
795388,2
795390,4
795398,2
795399,7
795400,2
797005,10
797007,5
797008,5
797013,8
797021,3
797025,8
797029,4
797031,1
797032,10
797033,9
797034,4
797035,5
797036,2
797039,1
797040,7
797042,8
797045,9
797047,7
798159,7
798162,3
798163,2
798164,11
798166,1
798170,7
798178,6
798190,4
798196,2
798200,1
798801,8
798802,1
798804,4
798805,2
798813,4
798814,3
798815,1
798818,3
798819,2
798822,1
798829,8
798834,10
798837,3
798846,1
798849,5
7A00653,5
7A00665,3
7A00666,6
7A00679,6
7A00683,4
7A00686,7
7A00689,1
7A00692,4
7A00696,3
7A00698,1
7A02102,6
7A02105,7
7A02114,1
7A02115,7
7A02119,6
7A02120,1
7A02122,2
7A02128,3
7A02132,1
7A02147,6
7A04701,4
7A04717,2
7A04724,1
7A04740,2
7A04743,4
7A04749,2
7A04751,5
7A04752,1
7A04769,3
7A04772,4
7A04774,4
7A04778,4
7A04779,2
7A04793,4
7A04798,3
7A06615,3
7A06617,1
7A06620,2
7A06626,2
7A06634,1
7A08922,1
k08689,3
k08690,8
k20001,3
k20005,10
k20008,10
k22504,3
k22509,10
k22514,3
k22515,3
